Parsing start
ol: CMSSW_10_6_0_pre3/src/TimeMemory/step3.log, sl: CMSSW_10_6_0_pre4/src/TimeMemory/step3.log
Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
   +0.164001      +0.15%        32.20 ms/ev ->        37.95 ms/ev electronCkfTrackCandidates
   +0.161358      +0.05%        10.69 ms/ev ->        12.57 ms/ev hgcalDigis
   +0.154123      +0.09%        19.47 ms/ev ->        22.73 ms/ev hgcalMultiClusters
   +0.145127      +0.18%        42.81 ms/ev ->        49.51 ms/ev earlyDisplacedMuons
   +0.141674      +0.10%        24.69 ms/ev ->        28.45 ms/ev combinatoricRecoTaus
   -0.137356      -0.24%        70.41 ms/ev ->        61.36 ms/ev hgcalLayerClusters
   +0.130397      +0.02%         6.50 ms/ev ->         7.40 ms/ev ecalRecHit
   +0.129615      +0.02%         5.80 ms/ev ->         6.60 ms/ev firstStepPrimaryVerticesUnsorted
   +0.120770      +0.07%        20.60 ms/ev ->        23.25 ms/ev particleFlowRecHitHGC
   +0.119543      +0.02%         7.24 ms/ev ->         8.16 ms/ev initialStepSeeds
   +0.119051      +0.07%        22.07 ms/ev ->        24.87 ms/ev lowPtGsfEleGsfTracks
   +0.118497      +0.02%         5.21 ms/ev ->         5.86 ms/ev HGCalRecHit
   +0.113207      +0.11%        34.62 ms/ev ->        38.77 ms/ev initialStepSeedLayers
   +0.113101      +0.02%         5.00 ms/ev ->         5.60 ms/ev lowPtQuadStepTracks
   +0.109256      +0.19%        61.79 ms/ev ->        68.93 ms/ev earlyMuons
   +0.105607      +0.03%        11.61 ms/ev ->        12.90 ms/ev ak4CaloJets
   +0.100548      +0.22%        79.12 ms/ev ->        87.50 ms/ev pfCombinedCvsBJetTags
   +0.098161      +0.04%        13.26 ms/ev ->        14.63 ms/ev ak4PFJetsCHS
   +0.097363      +0.04%        13.39 ms/ev ->        14.76 ms/ev ak4PFJets
   +0.096538      +0.24%        86.77 ms/ev ->        95.57 ms/ev muons1stStep
   +0.095517      +0.02%         5.85 ms/ev ->         6.44 ms/ev tpClusterProducer
   +0.095226      +0.04%        15.63 ms/ev ->        17.19 ms/ev ak8PFJetsCHS
   +0.093637      +0.12%        44.96 ms/ev ->        49.38 ms/ev trackExtenderWithMTD
   +0.090295      +0.22%        85.73 ms/ev ->        93.84 ms/ev ecalMultiFitUncalibRecHit
   +0.089247      +0.04%        15.67 ms/ev ->        17.14 ms/ev highPtTripletStepTrackCandidates
   +0.085076      +0.03%        14.21 ms/ev ->        15.48 ms/ev trackExtrapolator
   +0.084670      +0.03%        13.95 ms/ev ->        15.18 ms/ev pfCombinedSecondaryVertexV2BJetTags
   +0.083482      +0.02%         7.79 ms/ev ->         8.47 ms/ev gedGsfElectronsTmp
   +0.072770      +3.31%      1640.20 ms/ev ->      1764.07 ms/ev FEVTDEBUGHLToutput
