Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
   -1.923744      -0.00%         4.53 ms/ev ->         0.09 ms/ev uncleanedOnlyConversionTrackCandidates
   -1.768247      -0.00%         1.25 ms/ev ->         0.08 ms/ev uncleanedOnlyPfTrackElec
   -1.580994      -0.00%         1.66 ms/ev ->         0.19 ms/ev uncleanedOnlyElectronSeeds
   -1.424000      -0.00%         0.11 ms/ev ->         0.02 ms/ev uncleanedOnlyGsfElectronCores
   -1.367232      -0.00%         0.60 ms/ev ->         0.11 ms/ev uncleanedOnlyGsfElectrons
   -1.348485      -0.00%         0.66 ms/ev ->         0.13 ms/ev uncleanedOnlyElectronGsfTracks
   -1.340824      -0.00%         0.22 ms/ev ->         0.04 ms/ev uncleanedOnlyElectronCkfTrackCandidates
   +1.230047      +0.00%         1.23 ms/ev ->         5.16 ms/ev ecalPreshowerRecHit
   -1.200000      -0.00%         0.02 ms/ev ->         0.00 ms/ev interestingOotGamIsoDetIdEB
   +1.139623      +0.00%         0.06 ms/ev ->         0.21 ms/ev hpsPFTauDiscriminationByTightIsolationMVArun2v1PWoldDMwLT
   +0.906353      +0.01%         5.12 ms/ev ->        13.61 ms/ev pfPileUpAllChargedParticles
   +0.620690      +0.00%         0.45 ms/ev ->         0.85 ms/ev ancientMuonSeed
   -0.358339      -0.02%        98.69 ms/ev ->        68.70 ms/ev conversionTrackCandidates
   -0.346928      -0.00%         3.47 ms/ev ->         2.44 ms/ev hpsPFTauDiscriminationByMVA6rawElectronRejection
   -0.257919      -0.00%         9.48 ms/ev ->         7.32 ms/ev totemRPUVPatternFinder
   +0.254759      +0.00%        20.19 ms/ev ->        26.09 ms/ev pfCombinedCvsLJetTags
   +0.242678      +0.00%         0.84 ms/ev ->         1.07 ms/ev ak4JetTracksAssociatorExplicit
   +0.237538      +5.17%     25309.89 ms/ev ->     32132.22 ms/ev particleFlowClusterHGCal
   +0.219256      +0.00%         0.47 ms/ev ->         0.58 ms/ev ak4JetExtender
   +0.212481      +0.00%        14.39 ms/ev ->        17.82 ms/ev gedGsfElectrons
   +0.212429      +0.00%         0.79 ms/ev ->         0.98 ms/ev interestingTrackEcalDetIds
   +0.204010      +0.00%        12.79 ms/ev ->        15.69 ms/ev pfCombinedCvsBJetTags
   +0.194006      +0.01%        55.80 ms/ev ->        67.79 ms/ev hbhereco
   +0.192055      +0.01%        42.61 ms/ev ->        51.66 ms/ev tofPID
   +0.187666      +0.04%       240.26 ms/ev ->       290.02 ms/ev gsfGeneralInOutOutInConversionTrackMerger
   +0.185566      +0.01%        54.17 ms/ev ->        65.25 ms/ev trackTimeValueMapProducer
   -0.169149      -0.00%         6.01 ms/ev ->         5.07 ms/ev particleFlowEGamma
   +0.167693      +0.01%        65.91 ms/ev ->        77.97 ms/ev siPixelClusters
   +0.144337      +0.00%         7.66 ms/ev ->         8.85 ms/ev photons
   +0.142800      +0.01%        63.92 ms/ev ->        73.75 ms/ev simPFProducer
   +0.135889      +0.00%         5.49 ms/ev ->         6.29 ms/ev pfChargeBJetTags
   +0.130817      +0.00%        14.61 ms/ev ->        16.66 ms/ev dedxPixelHarmonic2
   +0.122507      +0.04%       453.28 ms/ev ->       512.43 ms/ev highPtTripletStepHitTriplets
   +0.120826      +0.00%        10.26 ms/ev ->        11.58 ms/ev particleFlow
   +0.116447      +0.01%        66.59 ms/ev ->        74.82 ms/ev siPixelClustersPreSplitting
   -0.115102      -0.01%        60.61 ms/ev ->        54.02 ms/ev me0Segments
   +0.111863      +0.00%        44.03 ms/ev ->        49.25 ms/ev siPixelRecHits
   +0.110521      +0.04%       435.93 ms/ev ->       486.92 ms/ev initialStepHitQuadruplets
   -0.108261      -0.00%        51.56 ms/ev ->        46.26 ms/ev tevMuons
   -0.108168      -0.01%       159.92 ms/ev ->       143.51 ms/ev pfPileUpIso
   +0.104343      +0.00%        51.20 ms/ev ->        56.84 ms/ev HGCalRecHit
   +0.102335      +0.01%        79.30 ms/ev ->        87.86 ms/ev hgcalDigis
   +0.102198      +0.00%        15.93 ms/ev ->        17.65 ms/ev hpsPFTauPrimaryVertexProducer
   -0.097066      -0.01%       157.34 ms/ev ->       142.77 ms/ev pfPileUpJME
   +0.095687      +0.00%         6.27 ms/ev ->         6.90 ms/ev EcalHaloData
   -0.094219      -0.01%       124.38 ms/ev ->       113.19 ms/ev cosmicMuons
   +0.092483      +0.01%       131.63 ms/ev ->       144.40 ms/ev offlinePrimaryVertices4D
   +0.092415      +0.16%      2167.56 ms/ev ->      2377.57 ms/ev detachedQuadStepHitQuadruplets
   -0.091677      -0.00%        27.38 ms/ev ->        24.98 ms/ev siPixelClusterShapeCache
   +0.090833      +0.01%       180.06 ms/ev ->       197.20 ms/ev particleFlowRecHitHGC
   -0.089891      -0.00%        50.29 ms/ev ->        45.96 ms/ev CSCHaloData
   -0.087238      -0.03%       490.17 ms/ev ->       449.19 ms/ev pfNoPileUpJME
   +0.085428      +0.01%       124.70 ms/ev ->       135.83 ms/ev offlinePrimaryVertices4DnoPIDWithBS
   +0.085041      +0.00%         4.95 ms/ev ->         5.39 ms/ev siPhase2Clusters
   +0.085000      +0.01%       130.55 ms/ev ->       142.14 ms/ev offlinePrimaryVertices4DWithBS
   +0.084881      +0.00%        32.66 ms/ev ->        35.55 ms/ev detachedQuadStepSeeds
   +0.084255      +0.01%       152.34 ms/ev ->       165.74 ms/ev offlinePrimaryVertices
