Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
   +1.900789      +0.00%         0.09 ms/ev ->         3.46 ms/ev uncleanedOnlyConversionTrackCandidates
   +1.826087      +0.00%         0.00 ms/ev ->         0.04 ms/ev highPtTripletStepTrackingRegions
   +1.508772      +0.00%         0.08 ms/ev ->         0.55 ms/ev uncleanedOnlyPfTrackElec
   +1.371069      +0.00%         0.05 ms/ev ->         0.27 ms/ev multi5x5SuperClustersWithPreshower
   +1.340659      +0.00%         0.07 ms/ev ->         0.38 ms/ev offlineBeamSpot
   +1.298969      +0.00%         0.02 ms/ev ->         0.08 ms/ev pfDisplacedTrackerVertex
   +1.290027      +0.00%         0.19 ms/ev ->         0.90 ms/ev uncleanedOnlyElectronSeeds
   -1.183711      -0.00%         5.16 ms/ev ->         1.32 ms/ev ecalPreshowerRecHit
   +1.111111      +0.00%         0.00 ms/ev ->         0.01 ms/ev interestingOotGamIsoDetIdEB
   +1.076923      +0.00%         0.02 ms/ev ->         0.06 ms/ev uncleanedOnlyGsfElectronCores
   -1.070111      -0.00%         0.21 ms/ev ->         0.06 ms/ev hpsPFTauDiscriminationByTightIsolationMVArun2v1PWoldDMwLT
   +0.609328      +0.00%         0.57 ms/ev ->         1.08 ms/ev lowPtGsfElectronID
   -0.538976      -0.00%         0.85 ms/ev ->         0.49 ms/ev ancientMuonSeed
   +0.302930      +0.00%         1.53 ms/ev ->         2.08 ms/ev muonShowerInformation
   +0.230731      +0.00%         3.54 ms/ev ->         4.46 ms/ev MeasurementTrackerEvent
   +0.205792      +0.00%         1.91 ms/ev ->         2.34 ms/ev hpsPFTauDiscriminationByIsolationMVArun2v1PWoldDMwLTraw
   +0.194214      +0.00%         7.52 ms/ev ->         9.14 ms/ev particleFlowTmp
   -0.184739      -0.00%        17.82 ms/ev ->        14.80 ms/ev gedGsfElectrons
   +0.165420      +0.01%        54.02 ms/ev ->        63.76 ms/ev me0Segments
   +0.155889      +0.00%         6.18 ms/ev ->         7.23 ms/ev uncleanedHybridSuperClusters
   +0.155821      +0.01%        45.96 ms/ev ->        53.73 ms/ev CSCHaloData
   -0.153287      -0.00%        10.66 ms/ev ->         9.14 ms/ev muonsFromCosmics1Leg
   +0.150537      +0.01%        46.26 ms/ev ->        53.79 ms/ev tevMuons
   -0.149373      -3.18%     32132.22 ms/ev ->     27666.09 ms/ev particleFlowClusterHGCal
   -0.145621      -0.00%        26.09 ms/ev ->        22.55 ms/ev pfCombinedCvsLJetTags
   +0.114472      +0.00%        54.78 ms/ev ->        61.43 ms/ev particleFlowTmpBarrel
   +0.114080      +0.00%        14.15 ms/ev ->        15.86 ms/ev muonsFromCosmics
   +0.111837      +0.00%        10.84 ms/ev ->        12.12 ms/ev muonCSCDigis
   +0.105162      +0.00%         8.85 ms/ev ->         9.83 ms/ev photons
   +0.103485      +0.00%        58.56 ms/ev ->        64.95 ms/ev globalMuons
   +0.099945      +0.00%        36.10 ms/ev ->        39.90 ms/ev standAloneMuons
   -0.093439      -0.00%         7.32 ms/ev ->         6.66 ms/ev totemRPUVPatternFinder
   +0.089741      +0.00%         6.20 ms/ev ->         6.79 ms/ev cscSegments
   +0.087741      +0.00%         8.90 ms/ev ->         9.72 ms/ev photonsFromMultiCl
   +0.085923      +0.00%        42.12 ms/ev ->        45.91 ms/ev refittedStandAloneMuons
   +0.084911      +0.00%        74.08 ms/ev ->        80.65 ms/ev displacedStandAloneMuons
   +0.080306      +0.00%        13.30 ms/ev ->        14.42 ms/ev csc2DRecHits
   +0.080213      +0.00%        16.20 ms/ev ->        17.56 ms/ev hgcalTrackCollection
   +0.078433      +0.00%        11.58 ms/ev ->        12.52 ms/ev particleFlow
   +0.075670      +0.00%        49.25 ms/ev ->        53.12 ms/ev siPixelRecHits
   -0.072452      -0.00%        17.65 ms/ev ->        16.41 ms/ev hpsPFTauPrimaryVertexProducer
   +0.071942      +0.00%         5.09 ms/ev ->         5.47 ms/ev pfCombinedSecondaryVertexV2BJetTags
   +0.069193      +0.00%        12.29 ms/ev ->        13.17 ms/ev vertexMerger
   -0.064941      -0.00%        15.69 ms/ev ->        14.71 ms/ev pfCombinedCvsBJetTags
