Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
   +1.848479      +0.00%         0.21 ms/ev ->         5.41 ms/ev hpsPFTauDiscriminationByLooseIsolationMVArun2v1DBnewDMwLT
   -1.848321      -0.00%         1.78 ms/ev ->         0.07 ms/ev uncleanedOnlyConversionTrackCandidates
   +1.831825      +0.00%         0.24 ms/ev ->         5.40 ms/ev hpsPFTauDiscriminationByLooseIsolationMVArun2v1PWoldDMwLT
   +1.825852      +0.08%         4.97 ms/ev ->       109.10 ms/ev particleFlowClusterECAL
   +1.824885      +0.00%         0.27 ms/ev ->         5.81 ms/ev hpsPFTauDiscriminationByLooseIsolationMVArun2v1DBdR03oldDMwLT
   +1.804469      +0.00%         0.28 ms/ev ->         5.45 ms/ev dt1DRecHits
   +1.800334      +0.00%         0.30 ms/ev ->         5.69 ms/ev hpsPFTauDiscriminationByLooseIsolationMVArun2v1DBoldDMwLT
   +1.795160      +0.00%         0.29 ms/ev ->         5.41 ms/ev hpsPFTauDiscriminationByLooseIsolationMVArun2v1PWdR03oldDMwLT
   +1.736656      +0.03%         3.57 ms/ev ->        50.68 ms/ev ecalRecHit
   +1.730150      +0.00%         0.39 ms/ev ->         5.39 ms/ev hpsPFTauDiscriminationByLooseIsolationMVArun2v1PWnewDMwLT
   +1.705971      +0.02%         1.99 ms/ev ->        25.12 ms/ev particleFlowRecHitECAL
   +1.692494      +0.11%        13.31 ms/ev ->       159.87 ms/ev csc2DRecHits
   +1.680514      +0.04%         5.29 ms/ev ->        60.95 ms/ev pfCombinedSecondaryVertexV2BJetTags
   +1.581982      +0.00%         0.35 ms/ev ->         2.98 ms/ev muonDTDigis
   +1.579469      +0.02%         3.90 ms/ev ->        33.21 ms/ev MeasurementTrackerEvent
   +1.569780      +0.01%         2.10 ms/ev ->        17.40 ms/ev hpsPFTauDiscriminationByIsolationMVArun2v1DBdR03oldDMwLTraw
   +1.498246      +0.00%         0.43 ms/ev ->         2.99 ms/ev softPFElectronBJetTags
   +1.457047      +0.01%         1.93 ms/ev ->        12.31 ms/ev hpsPFTauDiscriminationByIsolationMVArun2v1DBoldDMwLTraw
   +1.437836      +0.01%         2.01 ms/ev ->        12.30 ms/ev hpsPFTauDiscriminationByIsolationMVArun2v1PWnewDMwLTraw
   -1.384615      -0.00%         0.01 ms/ev ->         0.00 ms/ev highPtTripletStepTrackingRegions
   +1.321790      +0.01%         1.98 ms/ev ->         9.69 ms/ev hpsPFTauDiscriminationByIsolationMVArun2v1DBnewDMwLTraw
   +1.319955      +0.01%         1.97 ms/ev ->         9.64 ms/ev hpsPFTauDiscriminationByIsolationMVArun2v1PWoldDMwLTraw
   +1.244151      +0.01%         5.18 ms/ev ->        22.22 ms/ev initialStepSeedLayers
   +1.234682      +0.00%         0.79 ms/ev ->         3.34 ms/ev correctedHybridSuperClusters
   +1.141352      +0.00%         1.96 ms/ev ->         7.16 ms/ev hpsPFTauDiscriminationByIsolationMVArun2v1PWdR03oldDMwLTraw
   +0.994253      +0.05%        35.79 ms/ev ->       106.54 ms/ev gedGsfElectronsTmp
   +0.745001      +0.01%        11.11 ms/ev ->        24.30 ms/ev muonCSCDigis
   -0.496484      -6.78%     23001.20 ms/ev ->     13852.56 ms/ev AODSIMoutput
   -0.454787      -0.00%         1.85 ms/ev ->         1.16 ms/ev uncleanedOnlyElectronSeeds
   -0.443067      -0.02%        84.16 ms/ev ->        53.63 ms/ev me0Segments
   -0.413662      -0.00%         0.64 ms/ev ->         0.42 ms/ev uncleanedOnlyGsfElectrons
   -0.401396      -0.10%       407.77 ms/ev ->       271.45 ms/ev hgcalMultiClusters
   +0.375056      +0.01%        37.25 ms/ev ->        54.44 ms/ev siPixelRecHits
   +0.363251      +0.00%         0.58 ms/ev ->         0.84 ms/ev muonSeededTrackCandidatesOutInDisplaced
   -0.354845      -0.00%         5.82 ms/ev ->         4.07 ms/ev dt4DSegments
   +0.313867      +5.12%     18569.87 ms/ev ->     25483.28 ms/ev particleFlowClusterHGCal
   -0.307565      -0.00%         5.60 ms/ev ->         4.11 ms/ev dt4DCosmicSegments
   +0.301924      +0.00%         6.97 ms/ev ->         9.45 ms/ev pfCombinedMVAV2BJetTags
   +0.286877      +0.04%       147.54 ms/ev ->       196.96 ms/ev ecalMultiFitUncalibRecHit
   +0.259129      +0.00%        13.61 ms/ev ->        17.66 ms/ev muonsFromCosmics
   +0.229296      +0.01%        47.01 ms/ev ->        59.18 ms/ev tevMuons
   -0.221284      -0.00%         1.84 ms/ev ->         1.47 ms/ev interestingGedGamIsoDetIdEB
   -0.218656      -0.00%         6.84 ms/ev ->         5.50 ms/ev softPFMuonBJetTags
   -0.205372      -0.01%        56.28 ms/ev ->        45.80 ms/ev photonIDValueMaps
   -0.196578      -0.00%        10.34 ms/ev ->         8.49 ms/ev conversions
   +0.195081      +0.00%         9.76 ms/ev ->        11.87 ms/ev totemRPUVPatternFinder
   +0.188686      +0.01%        80.76 ms/ev ->        97.58 ms/ev conversionTrackCandidates
   +0.182991      +0.01%        37.74 ms/ev ->        45.34 ms/ev HGCalUncalibRecHit
   -0.146615      -0.00%        11.30 ms/ev ->         9.76 ms/ev particleFlow
   -0.139508      -0.01%       130.40 ms/ev ->       113.39 ms/ev particleFlowRecHitHBHE
   +0.129082      +0.02%       152.38 ms/ev ->       173.41 ms/ev cosmicMuons1Leg
   +0.128501      +0.00%        35.35 ms/ev ->        40.20 ms/ev cosmicsVetoTrackCandidates
   +0.126525      +0.00%        11.91 ms/ev ->        13.51 ms/ev pfCombinedCvsBJetTags
   +0.125771      +0.01%        55.99 ms/ev ->        63.51 ms/ev globalMuons
   -0.118918      -0.00%        13.14 ms/ev ->        11.67 ms/ev mtdClusters
   +0.117573      +0.00%        13.39 ms/ev ->        15.07 ms/ev hgcalTrackCollection
   +0.117554      +0.00%        45.33 ms/ev ->        51.00 ms/ev HGCalRecHit
   +0.115599      +0.01%       114.06 ms/ev ->       128.05 ms/ev cosmicMuons
   +0.110846      +0.00%        41.60 ms/ev ->        46.48 ms/ev refittedStandAloneMuons
   +0.109471      +0.00%        36.32 ms/ev ->        40.52 ms/ev standAloneMuons
   +0.108715      +0.00%        46.75 ms/ev ->        52.12 ms/ev ak4TrackJets
   -0.108500      -0.00%        15.84 ms/ev ->        14.21 ms/ev electronMergedSeeds
   +0.106558      +0.01%       121.98 ms/ev ->       135.72 ms/ev pfImpactParameterTagInfos
   +0.104004      +0.01%       108.01 ms/ev ->       119.86 ms/ev lowPtQuadStepSeeds
   +0.093270      +0.01%       100.15 ms/ev ->       109.95 ms/ev detachedQuadStepHitDoublets
   -0.088839      -0.00%        14.28 ms/ev ->        13.07 ms/ev towerMakerWithHO
   -0.081701      -0.00%         9.01 ms/ev ->         8.30 ms/ev photonsFromMultiCl
   +0.079655      +0.00%         6.02 ms/ev ->         6.51 ms/ev photonCoreFromMultiCl
   -0.078829      -0.00%        14.85 ms/ev ->        13.72 ms/ev towerMaker
