Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
   -1.924388      -0.00%         2.65 ms/ev ->         0.05 ms/ev hpsPFTauDiscriminationByVLooseIsolationMVArun2v1PWdR03oldDMwLT
   -1.921481      -0.00%         2.65 ms/ev ->         0.05 ms/ev hpsPFTauDiscriminationByVTightIsolationMVArun2v1PWdR03oldDMwLT
   -1.921394      -0.00%         2.64 ms/ev ->         0.05 ms/ev hpsPFTauDiscriminationByMediumIsolationMVArun2v1PWdR03oldDMwLT
   -1.920000      -0.00%         2.65 ms/ev ->         0.05 ms/ev hpsPFTauDiscriminationByVVTightIsolationMVArun2v1PWdR03oldDMwLT
   -1.920000      -0.00%         2.65 ms/ev ->         0.05 ms/ev hpsPFTauDiscriminationByTightIsolationMVArun2v1PWdR03oldDMwLT
   -1.916053      -0.00%         2.66 ms/ev ->         0.06 ms/ev hpsPFTauDiscriminationByVVLooseIsolationMVArun2v1DBnewDMwLT
   -1.915929      -0.00%         2.65 ms/ev ->         0.06 ms/ev hpsPFTauDiscriminationByVLooseIsolationMVArun2v1DBnewDMwLT
   -1.914862      -0.00%         2.67 ms/ev ->         0.06 ms/ev hpsPFTauDiscriminationByVTightIsolationMVArun2v1DBnewDMwLT
   -1.914737      -0.00%         2.66 ms/ev ->         0.06 ms/ev hpsPFTauDiscriminationByVVTightIsolationMVArun2v1DBnewDMwLT
   -1.913458      -0.00%         2.67 ms/ev ->         0.06 ms/ev hpsPFTauDiscriminationByMediumIsolationMVArun2v1DBnewDMwLT
   -1.913171      -0.00%         2.66 ms/ev ->         0.06 ms/ev hpsPFTauDiscriminationByTightIsolationMVArun2v1DBnewDMwLT
   -1.852617      -0.00%         5.41 ms/ev ->         0.21 ms/ev hpsPFTauDiscriminationByLooseIsolationMVArun2v1DBnewDMwLT
   -1.719132      -0.00%         2.74 ms/ev ->         0.21 ms/ev hpsPFTauDiscriminationByLooseIsolationMVArun2v1PWdR03oldDMwLT
   -1.563826      -0.01%        15.75 ms/ev ->         1.93 ms/ev hpsPFTauDiscriminationByIsolationMVArun2v1DBdR03oldDMwLTraw
   -1.499953      -0.01%         9.30 ms/ev ->         1.33 ms/ev hpsPFTauDiscriminationByMVA6rawElectronRejection
   +1.384615      +0.00%         0.01 ms/ev ->         0.07 ms/ev pfDisplacedTrackerVertex
   -1.346660      -0.02%        25.99 ms/ev ->         5.07 ms/ev particleFlowClusterECAL
   -1.308785      -0.01%         9.73 ms/ev ->         2.03 ms/ev hpsPFTauDiscriminationByIsolationMVArun2v1DBoldDMwLTraw
   +1.231481      +0.00%         0.08 ms/ev ->         0.35 ms/ev gmtStage2Digis
   -1.215642      -0.01%        14.10 ms/ev ->         3.44 ms/ev ecalRecHit
   -1.188631      -0.05%        88.80 ms/ev ->        22.59 ms/ev gedGsfElectrons
   -1.169811      -0.01%        11.68 ms/ev ->         3.06 ms/ev MeasurementTrackerEvent
   -1.144800      -0.00%         7.17 ms/ev ->         1.95 ms/ev hpsPFTauDiscriminationByIsolationMVArun2v1PWnewDMwLTraw
   +0.978344      +0.00%         1.26 ms/ev ->         3.68 ms/ev uncleanedOnlyConversionTrackCandidates
   -0.612683      -0.02%        64.69 ms/ev ->        34.35 ms/ev gedGsfElectronsTmp
   -0.591979      -0.01%        17.06 ms/ev ->         9.27 ms/ev totemRPUVPatternFinder
   +0.434200      +6.21%     14513.15 ms/ev ->     22562.22 ms/ev particleFlowClusterHGCal
   -0.433810      -6.23%     22643.85 ms/ev ->     14571.62 ms/ev AODSIMoutput
   +0.301146      +0.00%         0.52 ms/ev ->         0.70 ms/ev muonSeededSeedsOutIn
   -0.297830      -0.00%        18.32 ms/ev ->        13.57 ms/ev csc2DRecHits
   +0.295171      +0.00%         1.26 ms/ev ->         1.70 ms/ev muonSeededSeedsOutInDisplaced
   -0.293135      -0.00%         5.70 ms/ev ->         4.24 ms/ev initialStepSeedLayers
   +0.224123      +0.00%         0.52 ms/ev ->         0.65 ms/ev lowPtGsfElectronID
   +0.217348      +0.01%        43.77 ms/ev ->        54.44 ms/ev photonIDValueMaps
   -0.200701      -0.00%         1.73 ms/ev ->         1.41 ms/ev dt1DCosmicRecHits
   +0.174439      +0.00%        10.57 ms/ev ->        12.59 ms/ev vertexMerger
   +0.170211      +0.00%        21.98 ms/ev ->        26.07 ms/ev muPFIsoDepositPU
   +0.155137      +0.01%        60.55 ms/ev ->        70.74 ms/ev conversionTrackCandidates
   +0.149555      +0.00%        32.44 ms/ev ->        37.69 ms/ev cosmicsVetoTrackCandidates
   +0.143809      +0.02%       144.97 ms/ev ->       167.44 ms/ev cosmicsVeto
   +0.140235      +0.00%         8.59 ms/ev ->         9.88 ms/ev conversions
   +0.140017      +0.00%        42.38 ms/ev ->        48.76 ms/ev tofPID
   +0.131739      +0.01%        49.54 ms/ev ->        56.52 ms/ev tevMuons
   +0.128265      +0.01%        65.05 ms/ev ->        73.96 ms/ev muonMETValueMapProducer
   +0.113918      +0.00%         8.57 ms/ev ->         9.60 ms/ev recoTauAK4PFJets08Region
   +0.113718      +1.09%     11756.56 ms/ev ->     13174.08 ms/ev unsortedOfflinePrimaryVertices4Dfastsim
   +0.109495      +0.00%        10.04 ms/ev ->        11.20 ms/ev mtdTrackingRecHits
   +0.108443      +0.00%         5.42 ms/ev ->         6.04 ms/ev muonSeededTracksInOut
   +0.107108      +0.00%        41.95 ms/ev ->        46.70 ms/ev refittedStandAloneMuons
   -0.105724      -0.00%         6.02 ms/ev ->         5.41 ms/ev uncleanedHybridSuperClusters
   +0.103741      +0.00%        58.44 ms/ev ->        64.83 ms/ev particleFlowTmpBarrel
   +0.103462      +0.00%        36.58 ms/ev ->        40.57 ms/ev standAloneMuons
   +0.101349      +0.00%         5.03 ms/ev ->         5.57 ms/ev dt4DCosmicSegments
   +0.100780      +0.00%         6.09 ms/ev ->         6.73 ms/ev photonCoreFromMultiCl
   +0.098361      +0.00%         5.10 ms/ev ->         5.63 ms/ev dt4DSegments
   +0.098292      +0.01%       117.73 ms/ev ->       129.90 ms/ev allConversions
   +0.096456      +0.24%      3045.69 ms/ev ->      3354.35 ms/ev pfTrackElec
   +0.093344      +0.00%        11.84 ms/ev ->        13.00 ms/ev mtdClusters
   -0.089761      -0.00%         6.12 ms/ev ->         5.60 ms/ev pfChargeBJetTags
