Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
   -1.065418      -0.01%        13.13 ms/ev ->         4.00 ms/ev towerMakerWithHO
   -0.985301      -0.01%        13.94 ms/ev ->         4.74 ms/ev towerMaker
   +0.937509      +0.01%         3.78 ms/ev ->        10.46 ms/ev particleFlowForChargedMET
   -0.827816      -0.01%        13.88 ms/ev ->         5.75 ms/ev pfPileUpAllChargedParticles
   +0.495284      +0.00%         0.56 ms/ev ->         0.92 ms/ev uncleanedOnlyPfTrackElec
   -0.469231      -7.89%     27619.40 ms/ev ->     17122.30 ms/ev particleFlowClusterHGCal
   -0.453130      -0.00%        13.24 ms/ev ->         8.35 ms/ev vertexMerger
   +0.391925      +0.00%        12.45 ms/ev ->        18.51 ms/ev particleFlow
   +0.313283      +0.00%         0.91 ms/ev ->         1.24 ms/ev uncleanedOnlyElectronSeeds
   -0.312370      -0.00%         2.03 ms/ev ->         1.48 ms/ev muonShowerInformation
   -0.309963      -0.00%         1.85 ms/ev ->         1.35 ms/ev candidateVertexMerger
   +0.304952      +0.00%         3.49 ms/ev ->         4.74 ms/ev uncleanedOnlyConversionTrackCandidates
   +0.285712      +0.00%         3.10 ms/ev ->         4.13 ms/ev particleBasedIsolationTmp
   -0.278713      -0.00%         2.99 ms/ev ->         2.26 ms/ev candidateVertexMergerCvsL
   +0.220567      +0.00%         0.75 ms/ev ->         0.93 ms/ev generalInOutOutInConversionTrackMerger
   -0.220145      -0.00%         2.99 ms/ev ->         2.40 ms/ev ak4JetID
   +0.215768      +0.01%        36.08 ms/ev ->        44.81 ms/ev ak4PFJets
   -0.201829      -0.00%         2.39 ms/ev ->         1.95 ms/ev muonSeededSeedsOutInDisplaced
   -0.181906      -0.01%       105.48 ms/ev ->        87.89 ms/ev inclusiveVertexFinder
   -0.180435      -0.01%       118.31 ms/ev ->        98.73 ms/ev inclusiveCandidateVertexFinder
   -0.178015      -0.01%       118.39 ms/ev ->        99.04 ms/ev inclusiveCandidateVertexFinderCvsL
   +0.152630      +0.01%        47.19 ms/ev ->        54.99 ms/ev photonIDValueMaps
   +0.146465      +0.01%        63.08 ms/ev ->        73.04 ms/ev conversionTrackCandidates
   -0.132367      -0.01%        63.40 ms/ev ->        55.53 ms/ev me0Segments
   +0.121146      +0.00%         6.93 ms/ev ->         7.83 ms/ev EcalHaloData
   +0.101799      +0.00%        30.49 ms/ev ->        33.76 ms/ev pixelClusterTagInfos
   -0.100547      -0.00%         9.08 ms/ev ->         8.21 ms/ev particleFlowTmp
   +0.091279      +0.01%       198.43 ms/ev ->       217.41 ms/ev combinatoricRecoTaus
   -0.074773      -0.02%       375.28 ms/ev ->       348.23 ms/ev trackVertexArbitrator
   -0.068219      -0.02%       457.99 ms/ev ->       427.78 ms/ev candidateVertexArbitratorCvsL
   +0.068104      +0.00%         9.14 ms/ev ->         9.79 ms/ev muonsFromCosmics1Leg
   +0.062371      +0.00%         6.34 ms/ev ->         6.75 ms/ev gedPhotonsTmp
   -0.062182      -0.02%       386.75 ms/ev ->       363.43 ms/ev candidateVertexArbitrator
   -0.057969      -0.00%        73.55 ms/ev ->        69.41 ms/ev muonMETValueMapProducer
   -0.057403      -0.00%        25.41 ms/ev ->        23.99 ms/ev muPFIsoDepositPU
   +0.057209      +0.00%        16.43 ms/ev ->        17.40 ms/ev hpsPFTauPrimaryVertexProducer
   -0.056849      -0.00%        20.99 ms/ev ->        19.83 ms/ev muonSeededTrackCandidatesInOut
   -0.055858      -0.01%       163.49 ms/ev ->       154.60 ms/ev cosmicsVeto
   -0.055085      -0.00%        52.71 ms/ev ->        49.88 ms/ev HGCalUncalibRecHit
   -0.053982      -0.00%         5.90 ms/ev ->         5.59 ms/ev photonCoreFromMultiCl
   -0.053793      -0.00%         7.46 ms/ev ->         7.07 ms/ev electronMergedSeedsFromMultiCl
   +0.053177      +0.00%         4.98 ms/ev ->         5.25 ms/ev particleFlowEGamma
  ---------- ------------     --------                  ----       ------------
Job total:  133.036 s/ev ==> 122.251 s/ev
