Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
   -1.693113      -0.00%         3.53 ms/ev ->         0.29 ms/ev hpsPFTauDiscriminationByMVA6LooseElectronRejection
   +1.355321      +0.00%         1.21 ms/ev ->         6.28 ms/ev ecalPreshowerRecHit
   +1.313898      +0.00%         1.46 ms/ev ->         7.08 ms/ev initialStepSeedLayers
   -1.047619      -0.00%         0.03 ms/ev ->         0.01 ms/ev ootPhotonHcalPFClusterIsolationProducer
   -1.037037      -0.00%         0.04 ms/ev ->         0.01 ms/ev muonSeededTracksOutInDisplacedClassifier
   -0.971880      -0.00%         4.70 ms/ev ->         1.63 ms/ev uncleanedOnlyConversionTrackCandidates
   -0.953308      -0.01%        10.39 ms/ev ->         3.68 ms/ev particleFlowForChargedMET
   -0.667801      -0.00%         2.35 ms/ev ->         1.17 ms/ev dt1DCosmicRecHits
   -0.482408      -0.01%        18.54 ms/ev ->        11.33 ms/ev particleFlow
   +0.472060      +0.00%         0.46 ms/ev ->         0.74 ms/ev ancientMuonSeed
   +0.383198      +0.00%         5.81 ms/ev ->         8.57 ms/ev pfPileUpAllChargedParticles
   +0.372749      +0.00%         6.05 ms/ev ->         8.83 ms/ev totemRPUVPatternFinder
   -0.322824      -0.00%         1.23 ms/ev ->         0.89 ms/ev uncleanedOnlyElectronSeeds
   -0.304833      -0.00%         0.93 ms/ev ->         0.68 ms/ev generalInOutOutInConversionTrackMerger
   +0.291127      +0.33%      1205.55 ms/ev ->      1616.31 ms/ev ecalDrivenElectronSeedsFromMultiCl
   -0.281028      -0.00%         1.04 ms/ev ->         0.79 ms/ev lowPtGsfElectronID
   +0.263015      +0.00%         8.31 ms/ev ->        10.82 ms/ev vertexMerger
   +0.245647      +0.59%      2599.22 ms/ev ->      3327.11 ms/ev ecalDrivenElectronSeeds
   -0.216260      -0.00%         4.13 ms/ev ->         3.32 ms/ev particleBasedIsolationTmp
   -0.201991      -0.00%         1.16 ms/ev ->         0.95 ms/ev muonSeededTrackCandidatesOutIn
   -0.180387      -0.01%        48.89 ms/ev ->        40.80 ms/ev ak4PFJets
   +0.127390      +1.87%     17052.83 ms/ev ->     19372.97 ms/ev particleFlowClusterHGCal
   -0.126010      -0.01%        72.32 ms/ev ->        63.75 ms/ev conversionTrackCandidates
   -0.113679      -0.03%       290.81 ms/ev ->       259.53 ms/ev gsfGeneralInOutOutInConversionTrackMerger
   -0.111690      -0.00%        13.58 ms/ev ->        12.14 ms/ev csc2DRecHits
   +0.106342      +0.03%       347.88 ms/ev ->       386.96 ms/ev trackVertexArbitrator
   -0.101381      -0.00%         7.83 ms/ev ->         7.08 ms/ev EcalHaloData
