Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
   -0.249198      -0.01%         4.16 ms/ev ->         3.24 ms/ev pfPileUpAllChargedParticlesPFBRECO
   -0.244249      -0.00%         0.91 ms/ev ->         0.71 ms/ev basicJetsForMetNoHF
   -0.229046      -0.00%         1.46 ms/ev ->         1.16 ms/ev patPFMetTxyCorrPuppi
   -0.132505      -0.01%         7.20 ms/ev ->         6.31 ms/ev noHFCands
   -0.086646      -0.14%       112.90 ms/ev ->       103.52 ms/ev combinatoricRecoTausBoosted
   -0.086515      -0.01%         5.37 ms/ev ->         4.92 ms/ev boostedTauSeeds
   -0.079630      -0.01%         7.48 ms/ev ->         6.91 ms/ev patTaus
   -0.072175      -0.03%        27.52 ms/ev ->        25.60 ms/ev pfImpactParameterTagInfosPuppi
   -0.071427      -0.01%        12.14 ms/ev ->        11.30 ms/ev pfRecoTauTagInfoProducerBoosted
   -0.066303      -0.80%       863.34 ms/ev ->       807.93 ms/ev pfNoPileUpIsoPFBRECO
   +0.065386      +0.01%         9.29 ms/ev ->         9.91 ms/ev pfImpactParameterTagInfosAK8Puppi
   -0.060979      -0.02%        19.16 ms/ev ->        18.03 ms/ev recoTauAK4PFJets08RegionBoosted
   -0.056673      -0.16%       206.55 ms/ev ->       195.16 ms/ev pfNoPileUpJMENoHF
   -0.050240      -0.18%       251.55 ms/ev ->       239.22 ms/ev hgcPhotonID
  ---------- ------------     --------                  ----       ------------
Job total:  6.9167 s/ev ==> 6.85112 s/ev
