Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
   +1.988083      +0.02%         0.08 ms/ev ->        26.44 ms/ev hpsPFTauDiscriminationByVTightIsolationMVArun2v1DBdR03oldDMwLT
   +1.988037      +0.08%         0.32 ms/ev ->       108.01 ms/ev hpsPFTauDiscriminationByLooseIsolationMVArun2v1DBdR03oldDMwLT
   +1.987854      +0.02%         0.08 ms/ev ->        26.27 ms/ev hpsPFTauDiscriminationByVVLooseIsolationMVArun2v1DBdR03oldDMwLT
   +1.987447      +0.02%         0.08 ms/ev ->        26.36 ms/ev hpsPFTauDiscriminationByVLooseIsolationMVArun2v1DBdR03oldDMwLT
   +1.987260      +0.02%         0.08 ms/ev ->        26.29 ms/ev hpsPFTauDiscriminationByVVTightIsolationMVArun2v1DBdR03oldDMwLT
   +1.986535      +0.02%         0.09 ms/ev ->        26.35 ms/ev hpsPFTauDiscriminationByTightIsolationMVArun2v1DBdR03oldDMwLT
   +1.985164      +0.02%         0.10 ms/ev ->        26.32 ms/ev hpsPFTauDiscriminationByMediumIsolationMVArun2v1DBdR03oldDMwLT
   +1.940648      +0.12%         2.38 ms/ev ->       158.35 ms/ev particleFlowRecHitECAL
   +1.924886      +0.08%         2.11 ms/ev ->       110.41 ms/ev hpsPFTauDiscriminationByIsolationMVArun2v1DBnewDMwLTraw
   -1.855153      -0.00%         0.35 ms/ev ->         0.01 ms/ev uncleanedOnlyPfTrackElec
   +1.775351      +0.00%         0.18 ms/ev ->         3.02 ms/ev hpsPFTauDiscriminationByLooseIsolationMVArun2v1PWoldDMwLT
   +1.734807      +0.00%         0.06 ms/ev ->         0.85 ms/ev hpsPFTauDiscriminationByMediumIsolationMVArun2v1PWoldDMwLT
   +1.667838      +0.01%         1.25 ms/ev ->        13.83 ms/ev ecalPreshowerRecHit
   +1.645907      +0.10%        14.10 ms/ev ->       145.21 ms/ev ecalRecHit
   +1.607196      +0.00%         0.26 ms/ev ->         2.41 ms/ev hpsPFTauDiscriminationByMVA6TightElectronRejection
   +1.598124      +0.00%         0.26 ms/ev ->         2.30 ms/ev hpsPFTauDiscriminationByMVA6MediumElectronRejection
   +1.595092      +0.00%         0.26 ms/ev ->         2.34 ms/ev hpsPFTauDiscriminationByLooseIsolationMVArun2v1DBoldDMwLT
   +1.573008      +0.03%         5.70 ms/ev ->        47.66 ms/ev initialStepSeedLayers
   +1.572710      +0.00%         0.27 ms/ev ->         2.29 ms/ev hpsPFTauDiscriminationByMVA6VTightElectronRejection
   +1.571814      +0.00%         0.28 ms/ev ->         2.32 ms/ev hpsPFTauDiscriminationByMVA6VLooseElectronRejection
   +1.566152      +0.00%         0.23 ms/ev ->         1.91 ms/ev l1extraParticles
   +1.565304      +0.00%         0.22 ms/ev ->         1.79 ms/ev gtDigis
   +1.558901      +0.00%         0.29 ms/ev ->         2.36 ms/ev totemRPRawToDigi
   +1.556146      +0.00%         0.33 ms/ev ->         2.68 ms/ev hpsPFTauDiscriminationByMVA6LooseElectronRejection
   -1.556001      -0.00%         2.66 ms/ev ->         0.33 ms/ev hpsPFTauDiscriminationByTightIsolationMVArun2v1DBnewDMwLT
   -1.547698      -0.00%         2.66 ms/ev ->         0.34 ms/ev hpsPFTauDiscriminationByVVLooseIsolationMVArun2v1DBnewDMwLT
   -1.543009      -0.00%         2.67 ms/ev ->         0.34 ms/ev hpsPFTauDiscriminationByVTightIsolationMVArun2v1DBnewDMwLT
   -1.542401      -0.00%         2.66 ms/ev ->         0.34 ms/ev hpsPFTauDiscriminationByVVTightIsolationMVArun2v1DBnewDMwLT
   -1.541985      -0.00%         2.67 ms/ev ->         0.34 ms/ev hpsPFTauDiscriminationByMediumIsolationMVArun2v1DBnewDMwLT
   +1.538462      +0.00%         0.05 ms/ev ->         0.39 ms/ev multi5x5SuperClustersWithPreshower
   -1.537588      -0.00%         2.65 ms/ev ->         0.35 ms/ev hpsPFTauDiscriminationByVLooseIsolationMVArun2v1PWdR03oldDMwLT
   -1.528862      -0.00%         2.64 ms/ev ->         0.35 ms/ev hpsPFTauDiscriminationByMediumIsolationMVArun2v1PWdR03oldDMwLT
   -1.518777      -0.00%         2.65 ms/ev ->         0.36 ms/ev hpsPFTauDiscriminationByVTightIsolationMVArun2v1PWdR03oldDMwLT
   -1.517770      -0.00%         1.26 ms/ev ->         0.17 ms/ev uncleanedOnlyConversionTrackCandidates
   -1.515392      -0.00%         2.65 ms/ev ->         0.37 ms/ev hpsPFTauDiscriminationByVLooseIsolationMVArun2v1DBnewDMwLT
   -1.513944      -0.00%         2.65 ms/ev ->         0.37 ms/ev hpsPFTauDiscriminationByVVTightIsolationMVArun2v1PWdR03oldDMwLT
   -1.512778      -0.00%         2.65 ms/ev ->         0.37 ms/ev hpsPFTauDiscriminationByTightIsolationMVArun2v1PWdR03oldDMwLT
   +1.484241      +0.00%         0.09 ms/ev ->         0.61 ms/ev offlineBeamSpot
   -1.455168      -0.00%         1.26 ms/ev ->         0.20 ms/ev muonSeededSeedsOutInDisplaced
   +1.451816      +0.00%         0.28 ms/ev ->         1.78 ms/ev hpsPFTauDiscriminationByLooseIsolationMVArun2v1PWnewDMwLT
   +1.422886      +0.00%         0.06 ms/ev ->         0.34 ms/ev hpsPFTauDiscriminationByVVTightIsolationMVArun2v1PWoldDMwLT
   +1.416268      +0.00%         0.06 ms/ev ->         0.36 ms/ev ctppsDiamondRawToDigi
   -1.414634      -0.00%         0.38 ms/ev ->         0.07 ms/ev uncleanedOnlyElectronSeeds
   +1.412085      +0.01%         1.73 ms/ev ->        10.02 ms/ev dt1DCosmicRecHits
   +1.403599      +0.00%         0.06 ms/ev ->         0.33 ms/ev hpsPFTauDiscriminationByVTightIsolationMVArun2v1PWoldDMwLT
   -1.401130      -0.00%         0.60 ms/ev ->         0.11 ms/ev muonSeededTrackCandidatesOutInDisplaced
   +1.401015      +0.00%         0.06 ms/ev ->         0.34 ms/ev hpsPFTauDiscriminationByVLooseIsolationMVArun2v1PWoldDMwLT
   +1.386793      +0.07%        20.73 ms/ev ->       114.50 ms/ev pfCombinedCvsLJetTags
   +1.381215      +0.00%         0.06 ms/ev ->         0.31 ms/ev totemTimingRawToDigi
   +1.351899      +0.00%         0.06 ms/ev ->         0.33 ms/ev hpsPFTauDiscriminationByTightIsolationMVArun2v1PWoldDMwLT
   +1.347439      +0.05%        17.06 ms/ev ->        87.53 ms/ev totemRPUVPatternFinder
   +1.327869      +0.00%         0.08 ms/ev ->         0.41 ms/ev hpsPFTauDiscriminationByMediumIsolationMVArun2v1PWnewDMwLT
   +1.306122      +0.00%         0.02 ms/ev ->         0.08 ms/ev quickTrackAssociatorByHits
   +1.275591      +0.00%         0.02 ms/ev ->         0.10 ms/ev initialStepTrackingRegions
   +1.273737      +0.05%        18.32 ms/ev ->        82.56 ms/ev csc2DRecHits
   +1.270336      +0.01%         5.44 ms/ev ->        24.37 ms/ev pfCombinedSecondaryVertexV2BJetTags
   +1.270185      +0.04%        13.31 ms/ev ->        59.63 ms/ev pfCombinedCvsBJetTags
   +1.265882      +0.00%         0.08 ms/ev ->         0.35 ms/ev hpsPFTauDiscriminationByVTightIsolationMVArun2v1PWnewDMwLT
   +1.261044      +0.00%         0.37 ms/ev ->         1.62 ms/ev muonDTDigis
   +1.252747      +0.00%         0.02 ms/ev ->         0.07 ms/ev trackerClusterCheck
   -1.238095      -0.00%         0.17 ms/ev ->         0.04 ms/ev uncleanedOnlyGsfElectrons
   +1.233256      +0.00%         0.08 ms/ev ->         0.35 ms/ev hpsPFTauDiscriminationByVVTightIsolationMVArun2v1PWnewDMwLT
   +1.232227      +0.00%         0.08 ms/ev ->         0.34 ms/ev hpsPFTauDiscriminationByVTightIsolationMVArun2v1DBoldDMwLT
   +1.219277      +0.00%         0.08 ms/ev ->         0.33 ms/ev hpsPFTauDiscriminationByVLooseIsolationMVArun2v1PWnewDMwLT
   +1.217822      +0.00%         0.08 ms/ev ->         0.33 ms/ev hpsPFTauDiscriminationByMediumIsolationMVArun2v1DBoldDMwLT
   +1.209524      +0.00%         0.08 ms/ev ->         0.34 ms/ev hpsPFTauDiscriminationByTightIsolationMVArun2v1DBoldDMwLT
   +1.207547      +0.00%         0.08 ms/ev ->         0.34 ms/ev hpsPFTauDiscriminationByVVLooseIsolationMVArun2v1DBoldDMwLT
   +1.203747      +0.00%         0.09 ms/ev ->         0.34 ms/ev hpsPFTauDiscriminationByTightIsolationMVArun2v1PWnewDMwLT
   +1.202459      +0.00%         0.52 ms/ev ->         2.08 ms/ev muonSeededSeedsOutIn
   -1.200000      -0.00%         0.03 ms/ev ->         0.01 ms/ev uncleanedOnlyGsfElectronCores
   +1.190361      +0.00%         0.08 ms/ev ->         0.33 ms/ev hpsPFTauDiscriminationByVVTightIsolationMVArun2v1DBoldDMwLT
   -1.190306      -0.00%         1.12 ms/ev ->         0.28 ms/ev muonSeededTrackCandidatesOutIn
   -1.189028      -0.01%        15.75 ms/ev ->         4.01 ms/ev hpsPFTauDiscriminationByIsolationMVArun2v1DBdR03oldDMwLTraw
   +1.163017      +0.00%         0.09 ms/ev ->         0.33 ms/ev hpsPFTauDiscriminationByVLooseIsolationMVArun2v1DBoldDMwLT
   +1.121951      +0.00%         0.27 ms/ev ->         0.96 ms/ev dt1DRecHits
   +1.121951      +0.00%         0.01 ms/ev ->         0.03 ms/ev ctppsPixelClusters
   +1.111111      +0.00%         0.00 ms/ev ->         0.01 ms/ev totemRPRecHitProducer
   +1.096386      +0.00%         0.07 ms/ev ->         0.26 ms/ev caloStage1LegacyFormatDigis
   +1.047619      +0.00%         0.01 ms/ev ->         0.02 ms/ev ctppsPixelDigis
   +1.040662      +0.00%         0.35 ms/ev ->         1.10 ms/ev softPFMuonBJetTags
   +1.040000      +0.00%         0.01 ms/ev ->         0.02 ms/ev multi5x5SuperClustersCleaned
   -1.040000      -0.00%         0.02 ms/ev ->         0.01 ms/ev interestingOotGamIsoDetIdEB
   +1.034483      +0.00%         0.01 ms/ev ->         0.02 ms/ev multi5x5PreshowerClusterShape
   +1.033684      +0.02%        11.68 ms/ev ->        36.66 ms/ev MeasurementTrackerEvent
   +1.032000      +0.00%         0.12 ms/ev ->         0.38 ms/ev ecalDetIdToBeRecovered
   +1.030303      +0.00%         0.01 ms/ev ->         0.03 ms/ev multi5x5BasicClustersCleaned
   +1.028459      +0.00%         0.49 ms/ev ->         1.54 ms/ev softPFElectronBJetTags
   -1.017722      -0.00%         0.30 ms/ev ->         0.10 ms/ev displacedGlobalMuons
   +0.981740      +0.00%         0.71 ms/ev ->         2.08 ms/ev CosmicMuonSeed
   -0.955619      -0.00%         5.41 ms/ev ->         1.91 ms/ev hpsPFTauDiscriminationByLooseIsolationMVArun2v1DBnewDMwLT
   +0.870660      +0.19%       161.49 ms/ev ->       410.50 ms/ev ecalMultiFitUncalibRecHit
   -0.867418      -0.00%         9.73 ms/ev ->         3.84 ms/ev hpsPFTauDiscriminationByIsolationMVArun2v1DBoldDMwLTraw
   +0.792366      +0.09%        88.80 ms/ev ->       205.32 ms/ev gedGsfElectrons
   +0.730492      +0.00%         2.60 ms/ev ->         5.59 ms/ev ecalDigis
   +0.729503      +0.00%         2.12 ms/ev ->         4.56 ms/ev interestingEcalDetIdEB
   +0.708228      +0.01%         6.12 ms/ev ->        12.84 ms/ev pfChargeBJetTags
   +0.700698      +0.05%        60.55 ms/ev ->       125.86 ms/ev conversionTrackCandidates
   +0.641586      +0.01%        10.69 ms/ev ->        20.78 ms/ev muonsFromCosmics1Leg
   +0.566158      +0.00%         2.02 ms/ev ->         3.62 ms/ev hpsPFTauDiscriminationByIsolationMVArun2v1PWoldDMwLTraw
   -0.564451      -0.00%         7.17 ms/ev ->         4.01 ms/ev hpsPFTauDiscriminationByIsolationMVArun2v1PWnewDMwLTraw
   +0.554216      +0.07%       120.22 ms/ev ->       212.39 ms/ev pfImpactParameterTagInfos
   +0.462781      +0.00%         2.00 ms/ev ->         3.20 ms/ev hpsPFTauDiscriminationByIsolationMVArun2v1PWdR03oldDMwLTraw
   -0.462427      -4.21%     14513.15 ms/ev ->      9062.21 ms/ev particleFlowClusterHGCal
   +0.452904      +0.00%         1.39 ms/ev ->         2.21 ms/ev particleFlowPtrs
   +0.441441      +0.00%         0.52 ms/ev ->         0.81 ms/ev lowPtGsfElectronID
   -0.427771      -6.16%     22643.85 ms/ev ->     14664.19 ms/ev AODSIMoutput
   +0.416718      +0.00%         0.64 ms/ev ->         0.98 ms/ev dedxHitInfo
   +0.408359      +0.00%         1.41 ms/ev ->         2.13 ms/ev interestingGedGamIsoDetIdEB
   -0.383478      -0.00%         2.74 ms/ev ->         1.86 ms/ev hpsPFTauDiscriminationByLooseIsolationMVArun2v1PWdR03oldDMwLT
   +0.371681      +0.00%         0.83 ms/ev ->         1.21 ms/ev correctedHybridSuperClusters
   +0.367505      +0.00%         0.42 ms/ev ->         0.61 ms/ev ancientMuonSeed
   +0.348665      +0.00%         3.34 ms/ev ->         4.75 ms/ev particleFlowForChargedMET
   -0.346804      -0.01%        64.69 ms/ev ->        45.57 ms/ev gedGsfElectronsTmp
   +0.341807      +0.00%         3.88 ms/ev ->         5.48 ms/ev HcalHaloData
   +0.316106      +0.00%         3.36 ms/ev ->         4.63 ms/ev initialStepSeedClusterMask
   +0.295848      +0.00%        10.57 ms/ev ->        14.24 ms/ev vertexMerger
   +0.286632      +0.00%        11.20 ms/ev ->        14.95 ms/ev muonCSCDigis
   +0.280330      +0.00%         0.73 ms/ev ->         0.97 ms/ev generalInOutOutInConversionTrackMerger
   +0.278377      +0.00%         0.84 ms/ev ->         1.11 ms/ev ak4JetTracksAssociatorExplicit
   +0.277242      +0.00%         1.16 ms/ev ->         1.54 ms/ev ecalDetailedTimeRecHit
   +0.274052      +0.00%         0.74 ms/ev ->         0.97 ms/ev particleFlowTmpPtrs
   +0.258395      +0.04%       189.05 ms/ev ->       245.14 ms/ev particleFlowRecHitHGC
   -0.257192      -0.00%        25.99 ms/ev ->        20.07 ms/ev particleFlowClusterECAL
   +0.251955      +0.00%         5.03 ms/ev ->         6.48 ms/ev dt4DCosmicSegments
   +0.245070      +0.00%         0.62 ms/ev ->         0.80 ms/ev chargedHadronPFTrackIsolation
   +0.241588      +0.00%         9.30 ms/ev ->        11.86 ms/ev hpsPFTauDiscriminationByMVA6rawElectronRejection
