Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
   +0.225111      +0.00%        11.57 ms/ev ->        14.51 ms/ev vertexMerger
   -0.211126      -0.16%      1275.51 ms/ev ->      1031.93 ms/ev muonSimClassifier
   +0.204026      +0.00%         1.77 ms/ev ->         2.18 ms/ev candidateVertexMerger
   -0.200217      -0.00%         6.74 ms/ev ->         5.51 ms/ev dt4DCosmicSegments
   -0.155778      -0.00%        44.29 ms/ev ->        37.89 ms/ev HGCalUncalibRecHit
   +0.140748      +0.01%       106.05 ms/ev ->       122.10 ms/ev inclusiveCandidateVertexFinder
   +0.140513      +0.01%        95.49 ms/ev ->       109.92 ms/ev inclusiveVertexFinder
   +0.139652      +0.01%       106.60 ms/ev ->       122.60 ms/ev inclusiveCandidateVertexFinderCvsL
   +0.121784      +0.00%         6.28 ms/ev ->         7.09 ms/ev EcalHaloData
   -0.118462      -0.04%       510.73 ms/ev ->       453.61 ms/ev highPtTripletStepHitTriplets
   -0.115376      -0.00%        16.13 ms/ev ->        14.37 ms/ev dedxPixelHarmonic2
   -0.115027      -0.00%         8.17 ms/ev ->         7.28 ms/ev muonsFromCosmics1Leg
   +0.114752      +0.00%         7.25 ms/ev ->         8.13 ms/ev particleFlowEGamma
   -0.111550      -0.03%       482.76 ms/ev ->       431.75 ms/ev initialStepHitQuadruplets
   -0.109175      -0.00%        14.72 ms/ev ->        13.19 ms/ev hgcalTrackCollection
   +0.103522      +0.03%       356.03 ms/ev ->       394.90 ms/ev candidateVertexArbitrator
   -0.093636      -0.02%       290.53 ms/ev ->       264.54 ms/ev lowPtTripletStepHitTriplets
   -0.091170      -0.00%        15.07 ms/ev ->        13.76 ms/ev muonsFromCosmics
   +0.090858      +0.02%       357.24 ms/ev ->       391.24 ms/ev trackVertexArbitrator
   -0.087510      -0.01%       198.43 ms/ev ->       181.80 ms/ev particleFlowRecHitHGC
   -0.084783      -0.02%       379.95 ms/ev ->       349.05 ms/ev particleFlowClusterHGCalFromMultiCl
   +0.084246      +0.02%       427.84 ms/ev ->       465.47 ms/ev candidateVertexArbitratorCvsL
   -0.083368      -0.03%       547.26 ms/ev ->       503.46 ms/ev lowPtQuadStepHitQuadruplets
   -0.081212      -0.00%        85.23 ms/ev ->        78.58 ms/ev hgcalDigis
   +0.079589      +0.00%         5.73 ms/ev ->         6.20 ms/ev gedGsfElectronCores
