Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
   +1.961837      +3.29%         2.31 ms/ev ->       240.23 ms/ev pfBoostedDoubleSecondaryVertexAK8BJetTagsAK8Puppi
   +1.946267      +0.05%         0.05 ms/ev ->         3.82 ms/ev hpsPFTauDiscriminationByVTightIsolationMVArun2v1DBdR03oldDMwLTBoosted
   +1.920042      +0.61%         0.92 ms/ev ->        45.15 ms/ev ecalLaserCorrFilter
   +1.880422      +0.02%         0.05 ms/ev ->         1.66 ms/ev hpsPFTauDiscriminationByTightIsolationMVArun2v1DBdR03oldDMwLTBoosted
   +1.831746      +0.02%         0.05 ms/ev ->         1.21 ms/ev hpsPFTauDiscriminationByVLooseIsolationMVArun2v1DBdR03oldDMwLTBoosted
   +1.740397      +0.01%         0.05 ms/ev ->         0.71 ms/ev hpsPFTauDiscriminationByMediumIsolationMVArun2v1PWnewDMwLTBoosted
   +1.732174      +0.01%         0.08 ms/ev ->         1.07 ms/ev ak4PFPuppiResidualCorrector
   +1.700707      +1.19%         7.58 ms/ev ->        93.77 ms/ev pfCombinedCvsBJetTagsPuppi
   +1.676341      +0.03%         0.18 ms/ev ->         2.09 ms/ev hpsPFTauDiscriminationByLooseIsolationMVArun2v1PWnewDMwLTBoosted
   +1.672727      +0.00%         0.01 ms/ev ->         0.10 ms/ev primaryVertexFilter
   +1.658951      +0.29%         2.14 ms/ev ->        22.96 ms/ev pfCombinedInclusiveSecondaryVertexV2BJetTagsAK8Puppi
   +1.657416      +0.02%         0.18 ms/ev ->         1.91 ms/ev hpsPFTauDiscriminationByLooseIsolationMVArun2v1PWoldDMwLTBoosted
   +1.655794     +25.90%       194.42 ms/ev ->      2064.97 ms/ev pfImpactParameterTagInfosAK8PFPuppiSoftDropSubjets
