Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
   +1.672050      +0.00%         0.07 ms/ev ->         0.74 ms/ev pfDisplacedTrackerVertex
   -1.384615      -0.00%         0.02 ms/ev ->         0.00 ms/ev interestingOotGamIsoDetIdEB
   -1.081678      -0.00%         0.35 ms/ev ->         0.10 ms/ev gmtStage2Digis
   -0.993644      -0.00%         4.24 ms/ev ->         1.43 ms/ev initialStepSeedLayers
   -0.665403      -0.00%         0.70 ms/ev ->         0.35 ms/ev muonSeededSeedsOutIn
   +0.532663      +0.00%         0.51 ms/ev ->         0.88 ms/ev uncleanedOnlyElectronSeeds
   +0.323060      +0.00%         5.07 ms/ev ->         7.03 ms/ev particleFlowClusterECAL
   -0.316245      -0.02%        83.46 ms/ev ->        60.67 ms/ev me0Segments
   -0.302231      -0.00%         8.02 ms/ev ->         5.92 ms/ev particleFlowClusterHCAL
   +0.301696      +0.00%         5.63 ms/ev ->         7.63 ms/ev dt4DSegments
   +0.297801      +0.00%         3.06 ms/ev ->         4.13 ms/ev MeasurementTrackerEvent
   +0.192856      +0.00%         9.85 ms/ev ->        11.96 ms/ev muonsFromCosmics1Leg
   +0.184575      +0.00%         5.57 ms/ev ->         6.70 ms/ev dt4DCosmicSegments
   +0.167855      +3.08%     22562.22 ms/ev ->     26696.36 ms/ev particleFlowClusterHGCal
   -0.128751      -0.00%        13.44 ms/ev ->        11.82 ms/ev pfCombinedCvsBJetTags
   -0.111393      -0.00%         6.04 ms/ev ->         5.40 ms/ev muonSeededTracksInOut
   -0.104277      -0.00%        21.45 ms/ev ->        19.32 ms/ev muonSeededTrackCandidatesInOut
   -0.103841      -0.01%       123.97 ms/ev ->       111.73 ms/ev particleFlowRecHitHBHE
   -0.099119      -0.00%        11.20 ms/ev ->        10.14 ms/ev mtdTrackingRecHits
   -0.094598      -0.00%        37.69 ms/ev ->        34.28 ms/ev cosmicsVetoTrackCandidates
   -0.094271      -0.00%        13.00 ms/ev ->        11.83 ms/ev mtdClusters
   -0.092647      -0.00%         9.88 ms/ev ->         9.01 ms/ev conversions
   -0.088910      -0.00%        54.44 ms/ev ->        49.80 ms/ev photonIDValueMaps
   -0.088774      -0.00%         9.09 ms/ev ->         8.32 ms/ev mtdUncalibratedRecHits
   -0.086421      -0.00%        26.07 ms/ev ->        23.91 ms/ev muPFIsoDepositPU
   +0.085158      +0.02%       241.27 ms/ev ->       262.73 ms/ev gsfGeneralInOutOutInConversionTrackMerger
   -0.084169      -0.00%        22.59 ms/ev ->        20.77 ms/ev gedGsfElectrons
   +0.084153      +0.00%         5.94 ms/ev ->         6.46 ms/ev gedGsfElectronCores
   -0.083462      -0.00%         5.39 ms/ev ->         4.96 ms/ev muPFIsoDepositGamma
   -0.082799      -0.00%        14.20 ms/ev ->        13.07 ms/ev towerMakerWithHO
   -0.082254      -0.01%        88.08 ms/ev ->        81.12 ms/ev hgcalDigis
   -0.081709      -0.77%     13174.08 ms/ev ->     12139.90 ms/ev unsortedOfflinePrimaryVertices4Dfastsim
   +0.080521      +0.00%        34.35 ms/ev ->        37.23 ms/ev gedGsfElectronsTmp
   -0.080450      -0.00%        14.25 ms/ev ->        13.15 ms/ev caloTowerForTrk
   -0.080333      -0.00%        57.53 ms/ev ->        53.09 ms/ev HGCalRecHit
   +0.079844      +0.00%         5.41 ms/ev ->         5.86 ms/ev uncleanedHybridSuperClusters
